startIp,endIp,ipVersion,asn,abuser_score,route,descr,country,active,org,domain,abuse,type,created,updated,rir
1.0.167.0,1.0.167.255,4,23969,0.0023 (Low),1.0.167.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.168.0,1.0.168.255,4,23969,0.0023 (Low),1.0.168.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.169.0,1.0.169.255,4,23969,0.0023 (Low),1.0.169.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.170.0,1.0.170.255,4,23969,0.0023 (Low),1.0.170.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.171.0,1.0.171.255,4,23969,0.0023 (Low),1.0.171.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.172.0,1.0.175.255,4,23969,0.0023 (Low),1.0.172.0/22,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.176.0,1.0.176.255,4,23969,0.0023 (Low),1.0.176.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.177.0,1.0.177.255,4,23969,0.0023 (Low),1.0.177.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.178.0,1.0.178.255,4,23969,0.0023 (Low),1.0.178.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.179.0,1.0.179.255,4,23969,0.0023 (Low),1.0.179.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.180.0,1.0.180.255,4,23969,0.0023 (Low),1.0.180.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.182.0,1.0.182.255,4,23969,0.0023 (Low),1.0.182.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.189.0,1.0.189.255,4,23969,0.0023 (Low),1.0.189.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.190.0,1.0.190.255,4,23969,0.0023 (Low),1.0.190.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.191.0,1.0.191.255,4,23969,0.0023 (Low),1.0.191.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.192.0,1.0.255.255,4,23969,0.0023 (Low),1.0.192.0/18,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.192.0,1.0.223.255,4,23969,0.0023 (Low),1.0.192.0/19,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.192.0,1.0.192.255,4,23969,0.0023 (Low),1.0.192.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.193.0,1.0.193.255,4,23969,0.0023 (Low),1.0.193.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.194.0,1.0.194.255,4,23969,0.0023 (Low),1.0.194.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.195.0,1.0.195.255,4,23969,0.0023 (Low),1.0.195.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.196.0,1.0.196.255,4,23974,0.0007 (Low),1.0.196.0/24,"MOE-AS-AP Ministry of education, TH",th,true,Ministry of Education - EMISC,moe.go.th,apipolg@tot.co.th,government,,2020-07-09,APNIC
1.0.197.0,1.0.197.255,4,23974,0.0007 (Low),1.0.197.0/24,"MOE-AS-AP Ministry of education, TH",th,true,Ministry of Education - EMISC,moe.go.th,apipolg@tot.co.th,government,,2020-07-09,APNIC
1.0.198.0,1.0.198.255,4,23969,0.0023 (Low),1.0.198.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.199.0,1.0.199.255,4,23969,0.0023 (Low),1.0.199.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.200.0,1.0.200.255,4,23969,0.0023 (Low),1.0.200.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.202.0,1.0.203.255,4,23969,0.0023 (Low),1.0.202.0/23,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.204.0,1.0.204.255,4,23969,0.0023 (Low),1.0.204.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.205.0,1.0.205.255,4,23969,0.0023 (Low),1.0.205.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.206.0,1.0.206.255,4,23969,0.0023 (Low),1.0.206.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.207.0,1.0.207.255,4,23969,0.0023 (Low),1.0.207.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.208.0,1.0.209.255,4,23969,0.0023 (Low),1.0.208.0/23,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.210.0,1.0.211.255,4,23969,0.0023 (Low),1.0.210.0/23,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.212.0,1.0.213.255,4,23969,0.0023 (Low),1.0.212.0/23,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.214.0,1.0.214.255,4,23969,0.0023 (Low),1.0.214.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.215.0,1.0.215.255,4,23969,0.0023 (Low),1.0.215.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.216.0,1.0.216.255,4,23969,0.0023 (Low),1.0.216.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.217.0,1.0.217.255,4,23969,0.0023 (Low),1.0.217.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.218.0,1.0.218.255,4,23969,0.0023 (Low),1.0.218.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.219.0,1.0.219.255,4,23969,0.0023 (Low),1.0.219.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.220.0,1.0.220.255,4,23969,0.0023 (Low),1.0.220.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.221.0,1.0.221.255,4,23969,0.0023 (Low),1.0.221.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.222.0,1.0.222.255,4,23969,0.0023 (Low),1.0.222.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.224.0,1.0.255.255,4,23969,0.0023 (Low),1.0.224.0/19,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.224.0,1.0.239.255,4,23969,0.0023 (Low),1.0.224.0/20,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.240.0,1.0.247.255,4,23969,0.0023 (Low),1.0.240.0/21,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.0.248.0,1.0.255.255,4,23969,0.0023 (Low),1.0.248.0/21,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.1.0,1.1.1.255,4,13335,0.014 (Elevated),1.1.1.0/24,"CLOUDFLARENET, US",us,true,"Cloudflare, Inc.",cloudflare.com,abuse@cloudflare.com,hosting,2010-07-14,2017-02-17,ARIN
1.1.8.0,1.1.8.255,4,138421,0.0007 (Low),1.1.8.0/24,"CU-CN-AS China Unicom, CN",cn,true,China Unicom,chinaunicom.cn,zhaoyz3@chinaunicom.cn,isp,,2023-10-21,APNIC
1.1.64.0,1.1.95.255,4,2519,0.0004 (Very Low),1.1.64.0/19,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.96.0,1.1.96.255,4,2519,0.0004 (Very Low),1.1.96.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.97.0,1.1.97.255,4,2519,0.0004 (Very Low),1.1.97.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.98.0,1.1.98.255,4,2519,0.0004 (Very Low),1.1.98.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.99.0,1.1.99.255,4,2519,0.0004 (Very Low),1.1.99.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.100.0,1.1.100.255,4,2519,0.0004 (Very Low),1.1.100.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.101.0,1.1.101.255,4,2519,0.0004 (Very Low),1.1.101.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.102.0,1.1.102.255,4,2519,0.0004 (Very Low),1.1.102.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.103.0,1.1.103.255,4,2519,0.0004 (Very Low),1.1.103.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.104.0,1.1.104.255,4,2519,0.0004 (Very Low),1.1.104.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.105.0,1.1.105.255,4,2519,0.0004 (Very Low),1.1.105.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.106.0,1.1.106.255,4,2519,0.0004 (Very Low),1.1.106.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.107.0,1.1.107.255,4,2519,0.0004 (Very Low),1.1.107.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.108.0,1.1.108.255,4,2519,0.0004 (Very Low),1.1.108.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.109.0,1.1.109.255,4,2519,0.0004 (Very Low),1.1.109.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.110.0,1.1.110.255,4,2519,0.0004 (Very Low),1.1.110.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.111.0,1.1.111.255,4,2519,0.0004 (Very Low),1.1.111.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.112.0,1.1.112.255,4,2519,0.0004 (Very Low),1.1.112.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.113.0,1.1.113.255,4,2519,0.0004 (Very Low),1.1.113.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.114.0,1.1.114.255,4,2519,0.0004 (Very Low),1.1.114.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.115.0,1.1.115.255,4,2519,0.0004 (Very Low),1.1.115.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.116.0,1.1.116.255,4,2519,0.0004 (Very Low),1.1.116.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.117.0,1.1.117.255,4,2519,0.0004 (Very Low),1.1.117.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.118.0,1.1.118.255,4,2519,0.0004 (Very Low),1.1.118.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.119.0,1.1.119.255,4,2519,0.0004 (Very Low),1.1.119.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.120.0,1.1.120.255,4,2519,0.0004 (Very Low),1.1.120.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.121.0,1.1.121.255,4,2519,0.0004 (Very Low),1.1.121.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.122.0,1.1.122.255,4,2519,0.0004 (Very Low),1.1.122.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.123.0,1.1.123.255,4,2519,0.0004 (Very Low),1.1.123.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.124.0,1.1.124.255,4,2519,0.0004 (Very Low),1.1.124.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.125.0,1.1.125.255,4,2519,0.0004 (Very Low),1.1.125.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.126.0,1.1.126.255,4,2519,0.0004 (Very Low),1.1.126.0/24,"VECTANT ARTERIA Networks Corporation, JP",jp,true,ARTERIA Networks Corporation,arteria-net.com,,isp,,2019/08/09,JPNIC
1.1.128.0,1.1.255.255,4,23969,0.0023 (Low),1.1.128.0/17,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.128.0,1.1.191.255,4,23969,0.0023 (Low),1.1.128.0/18,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.128.0,1.1.159.255,4,23969,0.0023 (Low),1.1.128.0/19,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.128.0,1.1.135.255,4,23969,0.0023 (Low),1.1.128.0/21,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.136.0,1.1.136.255,4,23969,0.0023 (Low),1.1.136.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.137.0,1.1.137.255,4,23969,0.0023 (Low),1.1.137.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.138.0,1.1.138.255,4,23969,0.0023 (Low),1.1.138.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.139.0,1.1.139.255,4,23969,0.0023 (Low),1.1.139.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.140.0,1.1.140.255,4,23969,0.0023 (Low),1.1.140.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.148.0,1.1.148.255,4,23969,0.0023 (Low),1.1.148.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.149.0,1.1.149.255,4,23969,0.0023 (Low),1.1.149.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.150.0,1.1.150.255,4,23969,0.0023 (Low),1.1.150.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.151.0,1.1.151.255,4,23969,0.0023 (Low),1.1.151.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.152.0,1.1.159.255,4,23969,0.0023 (Low),1.1.152.0/21,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.160.0,1.1.191.255,4,23969,0.0023 (Low),1.1.160.0/19,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.160.0,1.1.175.255,4,23969,0.0023 (Low),1.1.160.0/20,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.176.0,1.1.176.255,4,23969,0.0023 (Low),1.1.176.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
1.1.178.0,1.1.178.255,4,23969,0.0023 (Low),1.1.178.0/24,"TOT-NET TOT Public Company Limited, TH",th,true,TOT Public Company Limited,tot.co.th,abuse@totisp.net,isp,,2020-07-09,APNIC
