startIp,endIp,ipVersion,company,abuser_score,domain,type,rir,netname,abuseName,abuseAddress,abuseEmail,abusePhone
1.1.101.0,1.1.101.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.102.0,1.1.102.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.113.0,1.1.113.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.114.0,1.1.114.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.115.0,1.1.115.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.116.0,1.1.116.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.126.0,1.1.126.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.127.0,1.1.127.255,4,Otsuka Corporaion,0 (Very Low),otsuka.co.jp,business,JPNIC,HNS-IPv6-Block-2401-4800-b09e-48,,,,
1.1.128.0,1.1.191.255,4,TOT Public Company Limited,0.0118 (Elevated),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.1.128.0,1.1.255.255,4,Telfy Telecom S.L.,0 (Very Low),telfytelecom.es,isp,RIPE,MSEDotnet-TMNET,Pablo Dapena,"Avda. De la Constituci*n, 9, 03158, Catral, SPAIN",abuse@telfy.com,+34902006966
1.1.192.0,1.1.255.255,4,TOT Public Company Limited,0.0085 (Low),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.2.0.0,1.2.1.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.2.2.0,1.2.2.255,4,CITI Cableworld Inc administrator,0 (Very Low),citicableworld.com,isp,APNIC,TR-SADECEHOSTING-20090421,ABUSE CCIPH,"G/F JC Bldg. Carreon St. Centro East, Santiago City Isabela 3311",pompeyoabergas@citicableworld.com,+000000000
1.2.3.0,1.2.3.255,4,Central Intelligence Agency,0.0039 (Low),cia.gov,government,ARIN,INT-5GN-AU-20100924,Central Intelligence Agency,"GCS, ND1, Washington, DC, 20505, US",davidw@ucia.gov,+1-703-613-9840
1.2.4.0,1.2.4.255,4,"Colt Technology Services Co., Ltd.",0.0039 (Low),colt.net,isp,APNIC,CKAuViet-Net,,,,
1.2.5.0,1.2.7.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.2.8.0,1.2.8.255,4,TOT Public Company Limited,0 (Very Low),tot.co.th,isp,APNIC,YANCHENG-YANDOU-BAODING-CORP,,,,
1.2.9.0,1.2.15.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.2.16.0,1.2.31.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.2.32.0,1.2.63.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.2.64.0,1.2.127.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.2.128.0,1.2.191.255,4,TOT Public Company Limited,0.0261 (Elevated),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.2.128.0,1.2.255.255,4,Telfy Telecom S.L.,0 (Very Low),telfytelecom.es,isp,RIPE,MSEDotnet-TMNET,Pablo Dapena,"Avda. De la Constituci*n, 9, 03158, Catral, SPAIN",abuse@telfy.com,+34902006966
1.2.192.0,1.2.255.255,4,TOT Public Company Limited,0.0263 (Elevated),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.3.0.0,1.3.255.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.4.0.0,1.4.0.255,4,Central Intelligence Agency,0 (Very Low),cia.gov,government,ARIN,INT-5GN-AU-20100924,Central Intelligence Agency,"GCS, ND1, Washington, DC, 20505, US",davidw@ucia.gov,+1-703-613-9840
1.4.1.0,1.4.1.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.4.2.0,1.4.3.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.4.4.0,1.4.4.255,4,CITI Cableworld Inc administrator,0 (Very Low),citicableworld.com,isp,APNIC,TR-SADECEHOSTING-20090421,ABUSE CCIPH,"G/F JC Bldg. Carreon St. Centro East, Santiago City Isabela 3311",pompeyoabergas@citicableworld.com,+000000000
1.4.5.0,1.4.5.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.4.6.0,1.4.7.255,4,CHINANET FUJIAN PROVINCE NETWORK,0 (Very Low),chinatelecom.cn,isp,APNIC,WANEC-1531,ABUSE CHINANETCN,"No.31 ,jingrong street,beijing, 100032",anti-spam@chinatelecom.cn,+000000000
1.4.8.0,1.4.15.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.4.16.0,1.4.31.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.4.32.0,1.4.63.255,4,BHP BILLITON IRON ORE PTY. LTD.,0 (Very Low),bhp.com,business,APNIC,ESCAPEUU2,BHP BILLITON IRON ORE PTY. LTD.,125 St. Georges Terrace,DL-EG-networkcertnotificationsbhp.com@bhp.com,+61-8-6321-0000
1.4.64.0,1.4.127.255,4,CHINANET Guangdong province network,0 (Very Low),chinatelecom.cn,isp,APNIC,ESCAPEUU2,IPMASTER CHINANET-GD,"NO.18,RO. ZHONGSHANER,YUEXIU DISTRIC,GUANGZHOU",anti-spam@chinatelecom.cn,+86-20-87189274
1.4.128.0,1.4.191.255,4,TOT Public Company Limited,0.0128 (Elevated),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.4.128.0,1.4.255.255,4,Telfy Telecom S.L.,0 (Very Low),telfytelecom.es,isp,RIPE,MSEDotnet-TMNET,Pablo Dapena,"Avda. De la Constituci*n, 9, 03158, Catral, SPAIN",abuse@telfy.com,+34902006966
1.4.192.0,1.4.255.255,4,TOT Public Company Limited,0.0139 (Elevated),tot.co.th,isp,APNIC,CNC-FJFZ-MINTAI-NETBAR,ABUSE TOTTH,"TOT Public Company Limited, 89/2 Moo 3 Chaengwattana Rd, Laksi,Bangkok 10210 THAILAND",abuse@totisp.net,+000000000
1.5.0.0,1.5.255.255,4,SoftBank Corp.,0 (Very Low),softbank.jp,isp,JPNIC,guangzhoudianxinyunweiwangguanz,,,,
1.6.0.0,1.7.255.255,4,GLBB Japan KK,0.0004 (Very Low),glbb.ne.jp,isp,JPNIC,CNC-FJFZ-CHENGJIANSHEJI-CORP,,,,
1.6.43.0,1.6.43.255,4,SouthPark,0.0039 (Low),ms41.hinet.net,business,TWNIC,CNC-FJFZ-CHENGJIANSHEJI-CORP,Hung LU,"SouthPark, No.16,Siangbei1stRd.,HsinchuCity300,Taiwan(R.O.C.), Hsinchu Taiwan",nicklu1@ms41.hinet.net,886-3-538-2178
1.7.20.0,1.7.20.255,4,SouthPark,0 (Very Low),ms41.hinet.net,business,TWNIC,CNC-FJFZ-CHENGJIANSHEJI-CORP,Hung LU,"SouthPark, No.16,Siangbei1stRd.,HsinchuCity300,Taiwan(R.O.C.), Hsinchu Taiwan",nicklu1@ms41.hinet.net,886-3-538-2178
1.7.150.0,1.7.150.255,4,SouthPark,0 (Very Low),ms41.hinet.net,business,TWNIC,CNC-FJFZ-CHENGJIANSHEJI-CORP,Hung LU,"SouthPark, No.16,Siangbei1stRd.,HsinchuCity300,Taiwan(R.O.C.), Hsinchu Taiwan",nicklu1@ms41.hinet.net,886-3-538-2178
1.7.179.0,1.7.179.255,4,SouthPark,0 (Very Low),ms41.hinet.net,business,TWNIC,CNC-FJFZ-CHENGJIANSHEJI-CORP,Hung LU,"SouthPark, No.16,Siangbei1stRd.,HsinchuCity300,Taiwan(R.O.C.), Hsinchu Taiwan",nicklu1@ms41.hinet.net,886-3-538-2178
1.7.185.0,1.7.185.255,4,SouthPark,0 (Very Low),ms41.hinet.net,business,TWNIC,CNC-FJFZ-CHENGJIANSHEJI-CORP,Hung LU,"SouthPark, No.16,Siangbei1stRd.,HsinchuCity300,Taiwan(R.O.C.), Hsinchu Taiwan",nicklu1@ms41.hinet.net,886-3-538-2178
1.8.0.0,1.8.17.255,4,NATIONAL KNOWLEDGE NETWORK  - network administrato,0.0002 (Very Low),nkn.gov.in,government,APNIC,TR-SADECEHOSTING-20090421,NATIONAL KNOWLEDGE NETWORK  - network administrato,"C/0 NIC, A-BLOCK, CGO COMPLEX, LODHI ROAD, NEW DELHI-110003",abuseteam@nkn.in,+91-11-24305397
1.8.18.0,1.8.18.255,4,GSL Networks Pty LTD - Singapore,0 (Very Low),gslnetworks.com.au,isp,APNIC,XIAOYAOWANGBAJX,ABUSE GSLNETWORKSAU,,noc@gslnetworks.com.au,+000000000
1.8.19.0,1.8.255.255,4,NATIONAL KNOWLEDGE NETWORK  - network administrato,0 (Very Low),nkn.gov.in,government,APNIC,TR-SADECEHOSTING-20090421,NATIONAL KNOWLEDGE NETWORK  - network administrato,"C/0 NIC, A-BLOCK, CGO COMPLEX, LODHI ROAD, NEW DELHI-110003",abuseteam@nkn.in,+91-11-24305397
1.9.0.0,1.9.255.255,4,Golden Telecom,0.0009 (Low),beeline.ru,isp,RIPE,EGONZAGA-PH,Teleross NOC,"111250  Russia Moscow, Krasnokazarmennaja, 12",abuse-b2b@beeline.ru,
1.9.0.128,1.9.0.159,4,FTIP003240922 IP MASTER,0 (Very Low),bt.com,business,RIPE,HNS-IPv6-Block-2401-4800-ba28-48,IP MASTER TEAM,"pp HWG298, Virtual Postbox (HOM-NX), PO Box 400, London, N18 1XU, UK",protect@bt.com,+448000850223
1.9.2.0,1.9.2.255,4,HSBC Bank plc,0.0078 (Low),hsbc.com,banking,RIPE,FORMOSAN-UNION-C-KH-TW,Emmett Divilly,"SAP SE, Block 1, 99999 Galway, IR",abuse.emea@verizon.com,+35391433157
1.9.12.0,1.9.12.255,4,Internet Maekhong Network Company Limited,0 (Very Low),internetmaekhong.com,isp,APNIC,ShangHaiYinShangZiXunYouXianGo,Internet Maekhong Network Company Limited,"No 118, Myo Parth Road, Maekhong Quarter,Tachileik.",ayechanmoe@internetmaekhong.com,+95-9-79999-1616
